"ID_TRIAL"",""CLIENT_TIME"",""SCREEN_NAME"",""SERVER_TIME"",""VALUE"",""VALUEEVENT"",""VALUENAME"",""SUBJECT_ID_SUBJECT"",""SUBJECT_GROUP_ID_SUBJECT_GROUP"
"1988"",""1480588445746"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588445747"",""10"","",""User action"",""167"",""155"
"1989"",""1480588450338"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588450339"",""15"","",""User action"",""168"",""155"
"1990"",,""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588450357"",""5.0"",""PAYOFFS"",""receiver payoff"",""167"",""155"
"1991"",,""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588450369"",""15.0"",""PAYOFFS"",""contributor payoff"",""168"",""155"
"1992"",""1480588450403"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameResult"",""1480588450404"",,,""EVENT_SCREEN_ENTER"",""167"",""155"
"1993"",""1480588450472"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameResult"",""1480588450476"",,,""EVENT_SCREEN_ENTER"",""168"",""155"
"1994"",""1480588460405"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameResult"",""1480588460405"",,,""EVENT_SCREEN_EXIT"",""167"",""155"
"1995"",""1480588460476"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameResult"",""1480588460477"",,,""EVENT_SCREEN_EXIT"",""168"",""155"
"1996"",""1480588466122"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588466123"",""1"","",""User action"",""168"",""156"
"1997"",""1480588472810"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588472811"",""0"","",""User action"",""167"",""156"
"1998"",,""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588472825"",""15.0"",""PAYOFFS"",""receiver payoff"",""168"",""156"
"1999"",,""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588472834"",""5.0"",""PAYOFFS"",""contributor payoff"",""167"",""156"
"2000"",""1480588472853"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameResult"",""1480588472853"",,,""EVENT_SCREEN_ENTER"",""168"",""156"
"2001"",""1480588472862"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameResult"",""1480588472864"",,,""EVENT_SCREEN_ENTER"",""167"",""156"
"2002"",""1480588482856"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameResult"",""1480588482857"",,,""EVENT_SCREEN_EXIT"",""168"",""156"
"2003"",""1480588482864"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameResult"",""1480588482867"",,,""EVENT_SCREEN_EXIT"",""167"",""156"
"2004"",""1480588492466"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588492467"",""10"","",""User action"",""167"",""157"
"2005"",""1480588497106"",""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588497106"",""0"","",""User action"",""168"",""157"
"2006"",,""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588497113"",""5.0"",""PAYOFFS"",""receiver payoff"",""167"",""157"
"2007"",,""edu.kit.exp.impl.tutorial.client.TutorialTrustGameScreen"",""1480588497119"",""15.0"",""PAYOFFS"",""contributor payoff"",""168"",""157"
